Leave-One-Out
TOP 54
                            feature               accuracy                ave_sse              precision                 recall
removed: country                                  0.6400462962962963     0.35995370370370366    0.6208425720620843     0.6666666666666666
removed: is_urban                                 0.6666666666666666     0.3333333333333333     0.6441048034934498     0.7023809523809523
removed: age                                      0.6678240740740741     0.33217592592592593    0.6455142231947484     0.7023809523809523
removed: female                                   0.6736111111111112     0.3263888888888889     0.6513157894736842     0.7071428571428572
removed: married                                  0.6620370370370371     0.33796296296296297    0.6391304347826087     0.7
removed: religion                                 0.6597222222222222     0.34027777777777773    0.6381578947368421     0.6928571428571428
removed: relationship_to_hh_head                  0.6747685185185185     0.32523148148148145    0.6527472527472528     0.7071428571428572
removed: education_level                          0.6747685185185185     0.32523148148148145    0.6501079913606912     0.7166666666666667
removed: literacy                                 0.6701388888888888     0.3298611111111111     0.6464208242950108     0.7095238095238096
removed: can_add                                  0.6689814814814815     0.3310185185185185     0.6469298245614035     0.7023809523809523
removed: can_divide                               0.6689814814814815     0.3310185185185185     0.6469298245614035     0.7023809523809523
removed: can_calc_percents                        0.6701388888888888     0.3298611111111111     0.6470588235294118     0.7071428571428572
removed: can_calc_compounding                     0.6701388888888888     0.3298611111111111     0.6483516483516484     0.7023809523809523
removed: employed_last_year                       0.6701388888888888     0.3298611111111111     0.6483516483516484     0.7023809523809523
removed: employment_category_last_year            0.6666666666666666     0.3333333333333333     0.6453744493392071     0.6976190476190476
removed: employment_type_last_year                0.6736111111111112     0.3263888888888889     0.6513157894736842     0.7071428571428572
removed: share_hh_income_provided                 0.6736111111111112     0.3263888888888889     0.6506550218340611     0.7095238095238096
removed: income_ag_livestock_last_year            0.6689814814814815     0.3310185185185185     0.6443965517241379     0.7119047619047619
removed: income_friends_family_last_year          0.6655092592592593     0.3344907407407407     0.643956043956044      0.6976190476190476
removed: income_government_last_year              0.6724537037037037     0.3275462962962963     0.6505494505494506     0.7047619047619048
removed: income_own_business_last_year            0.6689814814814815     0.3310185185185185     0.6462882096069869     0.7047619047619048
removed: income_private_sector_last_year          0.6747685185185185     0.32523148148148145    0.6520787746170679     0.7095238095238096
removed: income_public_sector_last_year           0.6712962962962963     0.32870370370370366    0.6497797356828194     0.7023809523809523
removed: num_times_borrowed_last_year             0.6689814814814815     0.3310185185185185     0.6469298245614035     0.7023809523809523
removed: borrowing_recency                        0.6689814814814815     0.3310185185185185     0.6456521739130435     0.7071428571428572
removed: formal_savings                           0.6736111111111112     0.3263888888888889     0.6526548672566371     0.7023809523809523
removed: informal_savings                         0.6701388888888888     0.3298611111111111     0.6483516483516484     0.7023809523809523
removed: cash_property_savings                    0.6689814814814815     0.3310185185185185     0.6469298245614035     0.7023809523809523
removed: has_insurance                            0.6701388888888888     0.3298611111111111     0.6483516483516484     0.7023809523809523
removed: has_investment                           0.6701388888888888     0.3298611111111111     0.6503340757238307     0.6952380952380952
removed: num_shocks_last_year                     0.6747685185185185     0.32523148148148145    0.6501079913606912     0.7166666666666667
removed: avg_shock_strength_last_year             0.6724537037037037     0.3275462962962963     0.6492374727668845     0.7095238095238096
